@relation ‘jgroups’

@attribute fix {False,True}
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entrophy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {False,True}
@attribute author_date_unix_timestamp numeric

@data
False,1,15,15,0,0,0,0,1,0,0,646,0,14,False,1063071102
False,1,1,1,0,7,1,1698,1,0.980428241,2,654,2.01996246,179,False,1063155353
False,1,1,1,0,44,46,186,1,0,3,655,0,327,False,1063302777
False,1,1,1,0,6,1,3299,1,0,3,656,0,180,False,1063302914
False,1,1,1,0,2,2,2646,1,2.695173611,2,657,1.371033612,328,False,1063303507
False,1,1,1,0,190,1,962,1,9.325127315,2,0,0,0,False,1063876335
False,1,1,1,0,603,0,0,1,0,0,2,0,2,False,1063878776
False,1,1,1,0,4,2,1208,1,0,3,658,0,95,False,1063988232
False,1,1,1,0,60,1,1340,1,1.380810185,4,659,1.724212503,96,False,1063995637
False,1,1,1,0,32,5,1142,1,10.70612269,2,660,1.093404497,329,False,1063995653
False,1,1,1,0,3,3,1458,1,0.281296296,6,661,4.554970375,97,False,1064019941
False,1,1,1,0,42,2,1498,1,0,9,662,0,98,False,1064020575
False,1,2,2,0.571354974,71,40,935,1,5.65296875,6,663.5,1.089654192,331,False,1064021565
False,1,1,1,0,126,86,1210,1,2.221909722,4,4,1.45006329,4,False,1064180205
False,1,1,1,0,26,25,1232,1,2.869965278,6,665,1.348436271,332,False,1064269530
False,1,1,1,0,33,15,1234,1,0.081226852,8,666,13.31119977,333,False,1064276548
False,2,2,2,0.995727452,8,5,1825,1,12.61388889,6,667.5,1.064186043,99,True,1064276619
False,1,1,1,0,36,2,1538,1,2.96400463,10,669,1.337381389,100,False,1064276665
False,1,1,1,0,1,0,29,1,0,3,670,0,27,False,1064277086
False,3,3,3,0.93991375,56,7,1527.333333,1,0.008406636,16,672,54.75862228,101,False,1064277673
False,1,1,1,0,5,3,700,1,2.964513889,4,674,1.337323432,335,False,1064277699
False,1,2,2,0.043414076,842,2,645,1,1.23884838,6,6.5,0.70180032,7,False,1064394278
False,1,1,1,0,3,3,1290,1,0,9,11,0,11,False,1064396034
False,1,1,1,0,147,15,1290,1,0.108344907,10,12,10.22978314,12,False,1064405395
False,1,1,1,0,1,2,1262,1,1.540208333,12,675,1.649262816,336,False,1064410747
False,1,1,1,0,1,3,32,1,15.68755787,2,676,1.063744785,28,False,1064426049
False,1,1,1,0,4,4,1606,1,1.7440625,12,677,1.573373947,102,False,1064427352
False,1,1,1,0,3,2,1554,1,0.265173611,12,678,4.771114312,103,False,1064428306
False,1,1,1,0,2,1,1261,1,0,15,679,0,337,False,1064428640
False,1,1,1,0,691,0,0,1,0,0,680,0,338,True,1064429672
False,1,1,1,0,90,28,406,1,0,5,681,0,104,True,1064430403
False,1,1,1,0,26,26,1262,1,0,17,682,0,339,False,1064443838
False,1,1,1,0,1,24,704,1,1.924085648,6,683,1.519727384,340,False,1064443940
False,1,1,1,0,91,91,1606,1,0.196689815,14,684,6.084147346,105,False,1064444346
False,1,1,1,0,5,1,364,1,0,3,685,0,341,False,1064444623
False,1,4,4,1.989934378,20,4,979,1,15.91341435,8,687.5,1.032729201,345,False,1064445563
False,1,1,1,0,19,1,658,1,0.019305556,8,690,52.79856115,346,False,1064445608
False,1,1,1,0,2,1,100,1,1.943877315,2,691,1.514435758,106,False,1064445624
False,4,32,32,4.802836613,88,84,916.5625,1,0,104,707.5,0,113,True,1064445646
False,1,1,1,0,43,7,1592,1,0,15,15,0,15,False,1064508453
False,1,1,1,0,7,5,2356,1,0,3,724,0,370,False,1064515216
False,1,1,1,0,4,1,3324,1,0.805625,10,725,2.241272304,184,False,1064515252
False,1,1,1,0,2,2,1606,1,0.839594907,16,726,2.191050578,114,False,1064516887
False,1,1,1,0,9,3,1262,1,1.408078704,18,16,1.710187575,0,False,1064565496
False,1,1,1,0,66,33,1680,1,2.044768519,2,18,1.489052913,16,False,1064570946
False,1,1,1,0,3,1,1088,1,17.36837963,2,20,1.057575895,2,False,1064571272
False,1,1,1,0,5,11,1274,1,0.22775463,20,727,5.390690111,371,False,1064585174
False,1,1,1,0,1017,0,1017,1,0,1,23,0,19,False,1064589038
False,1,1,1,0,7,3,2360,1,20.15180556,4,728,1.049623345,372,False,1066186679
False,1,1,1,0,2,2,370,1,0,3,25,0,21,False,1066234202
False,1,1,1,0,625,623,1330,1,0,5,27,0,5,False,1066234450
False,1,4,4,1.306593655,469,0,117.25,1,0,4,33.5,0,29,False,1066234509
False,1,1,1,0,954,0,954,1,0,1,1,0,1,True,1066248783
False,1,4,4,1.869729311,1084,0,0,1,0,0,3.5,0,3,True,1066248897
False,1,2,2,0.961236605,8,5,649,1,36.78616898,4,10.5,1.020388098,9,False,1066248969
False,1,1,1,0,3,3,700,1,0,3,15,0,3,False,1066249112
False,1,1,1,0,7,4,754,1,36.78881944,2,16,1.027182172,4,False,1066249198
False,1,2,2,0.863120569,19,2,723,1,36.79003472,4,18.5,1.020385955,7,False,1066249303
False,1,1,1,0,8,1,3330,1,20.07081019,12,22,1.049823599,0,False,1066249370
False,1,1,1,0,7,8,76,1,39.2172338,2,729,1.025498994,373,False,1066459013
False,1,1,1,0,6,0,394,1,39.2203125,2,730,1.025496992,29,False,1066459279
False,2,2,2,0.996910535,321,0,0,1,0,0,731.5,0,374,False,1066464867
False,1,1,1,0,4,1,3347,1,0,15,733,0,185,False,1066492621
False,2,2,2,0.932111568,13,10,1739,1,19.83860532,18,734.5,15.09802719,375,False,1066495688
False,1,1,1,0,32,0,0,1,0,0,736,0,376,False,1066617836
False,1,1,1,0,5,5,652,1,4.933194444,2,36,1.20270841,30,False,1066660737
False,1,2,2,0.943733715,346,0,0,1,0,0,38.5,0,33,True,1066660939
False,1,2,2,1,221,221,221,1,0.371116898,2,42.5,2.34728438,37,False,1066725068
True,1,1,1,0,11,2,666,1,48.19585648,2,737,1.020748672,377,False,1067234766
False,1,1,1,0,4,2,1272,1,49.22476852,2,738,1.020314976,378,False,1067323664
False,2,3,3,0.857430372,553,201,876,2,21.47791281,4,25,1.016933006,11,True,1067443251
False,1,4,4,1.529383581,30,57,535.25,1,0,12,35.5,0,19,False,1067443363
False,1,1,1,0,18,14,760,1,13.82206019,4,38,1.072348115,14,False,1067443424
False,1,1,1,0,7,1,3356,1,10.97148148,18,40,1.091145394,2,False,1067443624
False,1,1,1,0,2,2,2016,1,0,3,739,0,379,False,1068353820
False,2,2,2,0.885612871,37,19,2863,1,32.45475694,24,740.5,1.039944556,380,False,1068783511
True,2,2,2,0.691289869,13,14,2413.5,1,0,28,742.5,0,381,True,1069379947
False,1,1,1,0,249,260,918,1,73.21665509,2,744,1.013658095,382,False,1069396563
False,2,2,2,0.845350937,154,0,0,1,0,0,745.5,0,115,False,1069397585
False,1,1,1,0,9,1,3388,1,0.231712963,24,747,5.315684316,189,False,1069399967
False,1,1,1,0,35,6,1698,1,73.27309028,2,748,1.013647575,384,False,1069401439
False,1,1,1,0,178,0,0,1,0,0,749,0,116,True,1069405056
False,2,2,2,1,6,4,1880,1,0.029681713,28,750.5,17.87836095,117,False,1069405076
False,1,1,1,0,30,31,1756,1,0.047847222,4,752,21.89985486,385,False,1069405573
False,1,1,1,0,6,5,355,1,0,5,753,0,118,False,1069405960
False,2,2,2,0.970950594,5,5,1055,1,0.00365162,12,754.5,154.3350562,119,False,1069406082
False,1,1,1,0,40,3,750,2,22.92805556,4,46,1.043614688,0,False,1069424235
False,1,1,1,0,11,9,652,1,32.04780093,4,48,1.031203389,40,False,1069429667
False,1,1,1,0,2,2,824,2,0,7,51,0,3,False,1069429705
False,1,1,1,0,3,1,2368,1,37.60450231,6,756,1.02659256,387,False,1069435708
False,1,1,1,0,2,2,1754,1,0.348657407,8,757,3.868145001,388,False,1069436206
False,1,1,1,0,7,6,823,1,0,3,758,0,389,False,1069437119
False,1,3,3,0.580137097,104,109,594.6666667,1,68.4587037,8,760,1.008401459,392,True,1069443810
False,1,1,1,0,3,3,554,1,73.7750463,2,762,1.013554719,393,False,1069444808
False,1,1,1,0,27,17,356,1,0.584236111,8,763,2.711636753,120,False,1069456560
False,1,1,1,0,6,3,878,1,73.95045139,2,764,1.013522568,394,False,1069459963
False,1,1,1,0,30,7,1754,1,0.290960648,10,765,4.436890887,395,False,1069461345
False,2,2,2,1,8,4,1893,1,0.357916667,38,766.5,2.460848522,121,False,1069461742
False,1,1,1,0,3,2,3419,1,0,31,768,0,192,False,1069461850
False,1,1,1,0,12,6,376,1,0.021180556,12,769,48.21311475,122,False,1069463572
False,2,28,28,3.236549955,3315,2744,242.9642857,3,0,58,93.5,0,95,False,1069691659
False,1,1,1,0,9,6,659,1,0,7,109,0,97,False,1069691833
False,1,1,1,0,2,2,1148,1,79.82303241,2,770,1.012527712,1,False,1069967354
False,1,3,3,1.566427916,80,6,1251.333333,1,63.91641204,12,772,1.009561098,398,True,1069968024
False,1,1,1,0,2,2,38,1,79.84215278,2,774,1.012524712,399,False,1069969006
False,1,1,1,0,3,1,646,1,79.84814815,2,775,1.012523772,400,False,1069969524
False,1,1,1,0,31,30,128,1,79.84853009,2,776,1.012523712,123,False,1069969557
False,1,1,1,0,5,5,1040,1,0,3,777,0,401,True,1070049309
False,1,1,1,0,18,19,798,3,4.290787037,10,778,1.233057477,11,False,1070062383
False,1,1,1,0,3,6,1248,1,1.155844907,6,779,1.865167977,402,False,1070067889
False,1,1,1,0,2,1,1242,1,0.000347222,8,780,2881,403,False,1070067919
False,1,1,1,0,4,2,604,1,0,3,781,0,404,False,1070069128
False,1,2,2,0.928183104,123,40,255,1,81.00582176,4,782.5,1.009258594,406,False,1070069547
False,1,1,1,0,984,1029,2276,1,81.01702546,2,784,1.012343085,407,False,1070070515
False,1,1,1,0,13,5,670,1,83.01170139,2,785,1.012046494,408,False,1070242855
False,1,1,1,0,7,5,796,3,4.872789352,12,0,0,0,False,1070483392
False,1,2,2,0.954434003,4,4,799,1,45.4304456,6,2.5,1.011329321,1,False,1070485167
False,2,2,2,0.881290899,14,6,856,1,46.08216435,8,786.5,1.086504804,124,True,1070500833
False,1,1,1,0,4,4,800,3,0.595868056,14,110,2.67822388,6,False,1070534875
False,1,1,1,0,2,2,1862,1,86.50681713,2,6,1.011559783,4,False,1070544833
False,1,1,1,0,3,2,200,1,87.61055556,2,788,1.01141415,125,False,1070640196
False,1,1,1,0,7,15,1862,1,1.248321759,4,789,1.801075518,410,False,1070652688
False,1,1,1,0,9,1,368,1,72.02436343,4,790,1.013884191,411,False,1070667528
False,1,1,1,0,1,0,1,1,0,1,791,0,126,False,1070670996
False,1,1,1,0,7,1,3420,1,14.02638889,32,792,1.071294188,193,False,1070673730
False,1,1,1,0,14,12,102,1,72.08513889,4,793,1.013872485,127,False,1070673780
False,1,1,1,0,4,3,532,1,91.99761574,2,798,1.010869847,128,False,1071019238
False,1,1,1,0,1141,32,64,1,51.88480324,2,799,1.019273466,416,False,1071100683
True,1,1,1,0,13,9,760,1,0,3,43,0,17,True,1071110399
True,1,1,1,0,3,3,764,1,0.149872685,4,800,7.67232991,417,False,1071123348
False,1,1,1,0,72,0,0,1,0,0,801,0,31,False,1071123587
False,1,2,2,0.998509099,76,12,1439,1,0,12,802.5,0,419,True,1071124615
False,1,1,1,0,169,157,452,1,93.21872685,2,804,1.010727458,420,True,1071124742
False,2,2,2,0.183122068,50,58,280,1,85.26336806,6,805.5,1.008295715,129,False,1071124900
False,1,1,1,0,22,1,2282,1,0.282488426,4,807,4.539968042,422,False,1071125090
False,1,1,1,0,11,1,3432,1,5.228194444,34,808,1.191270621,194,False,1071125446
False,3,3,3,1.082880073,101,3,536.6666667,1,0,19,810,0,130,True,1071125898
False,1,1,1,0,62,60,198,1,0,3,812,0,424,False,1071126744
False,2,4,4,1.853661466,21,8,473.5,1,11.57864005,16,814.5,1.022041599,131,False,1071126767
False,1,1,1,0,42,11,148,1,0.027488426,8,817,37.37894737,132,False,1071128273
False,1,1,1,0,127,30,714,1,20.17792824,4,818,1.049559102,428,True,1071187183
False,1,1,1,0,4,1,3452,1,0.715173611,36,819,2.398261883,195,False,1071187237
False,1,1,1,0,6,6,168,1,94.02726852,2,820,1.010635213,12,False,1071194600
False,1,1,1,0,1,0,106,1,94.02798611,2,821,1.010635132,13,False,1071194662
False,1,2,2,0.227469059,82,81,1108.5,1,0,6,822.5,0,430,True,1071195775
False,1,1,1,0,2,1,290,1,78.29429398,4,824,1.012772323,133,False,1071210273
False,1,1,1,0,132,124,390,1,94.26170139,2,825,1.010608762,431,False,1071214855
False,1,1,1,0,14,1,406,1,0.433333333,4,826,3.307692308,432,False,1071252295
False,1,1,1,0,19,1,3476,1,0,39,827,0,196,False,1071252465
False,1,1,1,0,1,4,3494,1,0.001759259,40,828,569.4210526,197,False,1071252617
False,1,1,1,0,91,0,91,1,0,1,829,0,134,False,1071253685
False,1,1,1,0,2,2,182,1,0,3,830,0,135,False,1071254088
False,1,2,2,0.941828535,39,0,0,1,0,0,831.5,0,1,False,1071254637
