Non-defec	Defect
3.2775064730752846E-5	0.0
6.555012946150569E-5	0.0
6.555012946150569E-5	3.2775064730752846E-5
6.555012946150569E-5	6.555012946150569E-5
9.832519419225852E-5	6.555012946150569E-5
1.3110025892301138E-4	6.555012946150569E-5
1.6387532365376423E-4	6.555012946150569E-5
1.6387532365376423E-4	9.832519419225852E-5
1.9665038838451705E-4	9.832519419225852E-5
1.9665038838451705E-4	1.3110025892301138E-4
2.294254531152699E-4	1.3110025892301138E-4
2.6220051784602277E-4	1.3110025892301138E-4
2.949755825767756E-4	1.3110025892301138E-4
3.2775064730752846E-4	1.3110025892301138E-4
3.6052571203828125E-4	1.3110025892301138E-4
3.933007767690341E-4	1.3110025892301138E-4
4.2607584149978694E-4	1.3110025892301138E-4
4.2607584149978694E-4	1.6387532365376423E-4
4.588509062305398E-4	1.6387532365376423E-4
4.588509062305398E-4	1.9665038838451705E-4
4.916259709612927E-4	1.9665038838451705E-4
5.244010356920455E-4	1.9665038838451705E-4
5.244010356920455E-4	2.294254531152699E-4
5.244010356920455E-4	2.6220051784602277E-4
5.571761004227984E-4	2.6220051784602277E-4
5.899511651535512E-4	2.6220051784602277E-4
5.899511651535512E-4	2.949755825767756E-4
5.899511651535512E-4	3.2775064730752846E-4
6.227262298843041E-4	3.2775064730752846E-4
6.555012946150569E-4	3.2775064730752846E-4
6.882763593458097E-4	3.2775064730752846E-4
6.882763593458097E-4	3.6052571203828125E-4
7.210514240765625E-4	3.6052571203828125E-4
7.210514240765625E-4	3.933007767690341E-4
7.538264888073153E-4	3.933007767690341E-4
7.538264888073153E-4	4.2607584149978694E-4
7.866015535380682E-4	4.2607584149978694E-4
7.866015535380682E-4	4.588509062305398E-4
8.19376618268821E-4	4.588509062305398E-4
8.19376618268821E-4	4.916259709612927E-4
8.19376618268821E-4	5.244010356920455E-4
8.19376618268821E-4	5.571761004227984E-4
8.521516829995739E-4	5.571761004227984E-4
8.849267477303267E-4	5.571761004227984E-4
8.849267477303267E-4	5.899511651535512E-4
9.177018124610796E-4	5.899511651535512E-4
9.504768771918324E-4	5.899511651535512E-4
9.832519419225854E-4	5.899511651535512E-4
0.0010160270066533381	5.899511651535512E-4
0.0010160270066533381	6.227262298843041E-4
0.0010160270066533381	6.555012946150569E-4
0.0010160270066533381	6.882763593458097E-4
0.0010160270066533381	7.210514240765625E-4
0.001048802071384091	7.210514240765625E-4
0.0010815771361148438	7.210514240765625E-4
0.0010815771361148438	7.538264888073153E-4
0.0011143522008455968	7.538264888073153E-4
0.0011471272655763495	7.538264888073153E-4
0.0011471272655763495	7.866015535380682E-4
0.0011799023303071025	7.866015535380682E-4
0.0012126773950378552	7.866015535380682E-4
0.0012454524597686081	7.866015535380682E-4
0.0012782275244993609	7.866015535380682E-4
0.0012782275244993609	8.19376618268821E-4
0.0013110025892301138	8.19376618268821E-4
0.0013437776539608666	8.19376618268821E-4
0.0013765527186916193	8.19376618268821E-4
0.0014093277834223723	8.19376618268821E-4
0.001442102848153125	8.19376618268821E-4
0.001474877912883878	8.19376618268821E-4
0.0015076529776146307	8.19376618268821E-4
0.0015404280423453836	8.19376618268821E-4
0.0015404280423453836	8.521516829995739E-4
0.0015404280423453836	8.849267477303267E-4
0.0015404280423453836	9.177018124610796E-4
0.0015404280423453836	9.504768771918324E-4
0.0015732031070761364	9.504768771918324E-4
0.0015732031070761364	9.832519419225854E-4
0.0016059781718068893	9.832519419225854E-4
0.0016059781718068893	0.0010160270066533381
0.0016059781718068893	0.001048802071384091
0.0016059781718068893	0.0010815771361148438
0.001638753236537642	0.0010815771361148438
0.001671528301268395	0.0010815771361148438
0.001671528301268395	0.0011143522008455968
0.0017043033659991478	0.0011143522008455968
0.0017370784307299007	0.0011143522008455968
0.0017698534954606535	0.0011143522008455968
0.0018026285601914064	0.0011143522008455968
0.0018026285601914064	0.0011471272655763495
0.0018354036249221592	0.0011471272655763495
0.001868178689652912	0.0011471272655763495
0.0019009537543836648	0.0011471272655763495
0.0019337288191144178	0.0011471272655763495
0.0019337288191144178	0.0011799023303071025
0.0019337288191144178	0.0012126773950378552
0.0019665038838451708	0.0012126773950378552
0.0019992789485759233	0.0012126773950378552
0.0020320540133066762	0.0012126773950378552
0.002064829078037429	0.0012126773950378552
0.002097604142768182	0.0012126773950378552
0.0021303792074989347	0.0012126773950378552
0.0021303792074989347	0.0012454524597686081
0.0021303792074989347	0.0012782275244993609
0.0021631542722296876	0.0012782275244993609
0.0021959293369604406	0.0012782275244993609
0.0022287044016911935	0.0012782275244993609
0.002261479466421946	0.0012782275244993609
0.002294254531152699	0.0012782275244993609
0.002327029595883452	0.0012782275244993609
0.002359804660614205	0.0012782275244993609
0.002359804660614205	0.0013110025892301138
0.0023925797253449574	0.0013110025892301138
0.0024253547900757104	0.0013110025892301138
0.0024581298548064633	0.0013110025892301138
0.0024581298548064633	0.0013437776539608666
0.0024581298548064633	0.0013765527186916193
0.0024909049195372163	0.0013765527186916193
0.002523679984267969	0.0013765527186916193
0.0025564550489987218	0.0013765527186916193
0.0025892301137294747	0.0013765527186916193
